[Step 6] CHỈ SỐ SILHOUETTE
Silhouette trung bình toàn bộ: 0.462119

Silhouette trung bình theo từng cluster:
- Cluster 279: silhouette_mean=0.701145, so_diem=341
- Cluster 280: silhouette_mean=0.547714, so_diem=145
- Cluster 281: silhouette_mean=0.410577, so_diem=372
- Cluster 282: silhouette_mean=0.395567, so_diem=283
- Cluster 283: silhouette_mean=0.606040, so_diem=104
- Cluster 284: silhouette_mean=0.498710, so_diem=171
- Cluster 285: silhouette_mean=0.372523, so_diem=294
- Cluster 286: silhouette_mean=0.358786, so_diem=297
- Cluster 287: silhouette_mean=0.376260, so_diem=442
- Cluster 288: silhouette_mean=0.333508, so_diem=413
- Cluster 289: silhouette_mean=0.486225, so_diem=417
- Cluster 290: silhouette_mean=0.366684, so_diem=286
- Cluster 291: silhouette_mean=0.243635, so_diem=288
- Cluster 292: silhouette_mean=0.331510, so_diem=211
- Cluster 293: silhouette_mean=0.360956, so_diem=575
- Cluster 294: silhouette_mean=0.325129, so_diem=461
- Cluster 295: silhouette_mean=0.365802, so_diem=476
- Cluster 296: silhouette_mean=0.727799, so_diem=295
- Cluster 297: silhouette_mean=0.558515, so_diem=624
- Cluster 298: silhouette_mean=0.330086, so_diem=299
- Cluster 299: silhouette_mean=0.385861, so_diem=454
- Cluster 300: silhouette_mean=0.319450, so_diem=319
- Cluster 301: silhouette_mean=0.416305, so_diem=256
- Cluster 302: silhouette_mean=0.361084, so_diem=348
- Cluster 303: silhouette_mean=0.289141, so_diem=206
- Cluster 304: silhouette_mean=0.433808, so_diem=153
- Cluster 305: silhouette_mean=0.302209, so_diem=197
- Cluster 306: silhouette_mean=0.340914, so_diem=275
- Cluster 307: silhouette_mean=0.460265, so_diem=415
- Cluster 308: silhouette_mean=0.395381, so_diem=208
- Cluster 309: silhouette_mean=0.425421, so_diem=648
- Cluster 310: silhouette_mean=0.437084, so_diem=361
- Cluster 311: silhouette_mean=0.512556, so_diem=46
- Cluster 312: silhouette_mean=0.635166, so_diem=152
- Cluster 313: silhouette_mean=0.194820, so_diem=312
- Cluster 314: silhouette_mean=0.487858, so_diem=189
- Cluster 315: silhouette_mean=0.724325, so_diem=136
- Cluster 316: silhouette_mean=0.366598, so_diem=230
- Cluster 317: silhouette_mean=0.526019, so_diem=125
- Cluster 318: silhouette_mean=0.838287, so_diem=177
- Cluster 319: silhouette_mean=0.493563, so_diem=63
- Cluster 320: silhouette_mean=0.469557, so_diem=217
- Cluster 321: silhouette_mean=0.471633, so_diem=152
- Cluster 322: silhouette_mean=0.569954, so_diem=578
- Cluster 323: silhouette_mean=0.775611, so_diem=33
- Cluster 324: silhouette_mean=0.718454, so_diem=209
